Ac	Abcoude
Adh	Leeuwarden Achter de Hoven
Ah	Arnhem
Ahp	Arnhem Velperpoort
Ahpr	Arnhem Presikhaaf
Ahz	Arnhem Zuid
Akl	Arkel
Akm	Akkrum
Alm	Almere Centrum
Almb	Almere Buiten
Almm	Almere Muziekwijk
Almo	Almere Oostvaarders
Almp	Almere Parkwijk
Amf	Amersfoort
Amfs	Amersfoort Schothorst
Aml	Almelo
Ampo	Almere Poort
Amr	Alkmaar
Amri	Almelo De Riet
Amrn	Alkmaar Noord
Ana	Anna Paulowna
Apd	Apeldoorn
Apdm	Apeldoorn De Maten
Apdo	Apeldoorn Osseveld
Apg	Appingedam
Apn	Alphen aan den Rijn
Arn	Arnemuiden
Asa	Amsterdam Amstel
Asb	Amsterdam Bijlmer ArenA
Asd	Amsterdam Centraal
Asdl	Amsterdam Lelylaan
Asdm	Amsterdam Muiderpoort
Asdz	Amsterdam Zuid
Ashd	Amsterdam Holendrecht
Asn	Assen
Ass	Amsterdam Sloterdijk
Assp	Amsterdam Science Park
Atn	Aalten
Avat	Amersfoort Vathorst
Bd	Breda
Bde	Bunde
Bdg	Bodegraven
Bdm	Bedum
Bdpb	Breda-Prinsenbeek
Bet	Best
Bf	Baflo
Bgn	Bergen op Zoom
Bhdv	Boven Hardinxveld
Bhv	Bilthoven
Bk	Beek-Elsloo
Bkf	Bovenkarspel Flora
Bkg	Bovenkarspel-Grootebroek
Bkl	Breukelen
Bl	Beilen
Bll	Bloemendaal
Bmn	Brummen
Bmr	Boxmeer
Bn	Borne
Bnc	Barneveld Centrum
Bnk	Bunnik
Bnn	Barneveld Noord
Bnz; 2015	Barneveld Zuid
Bp	Buitenpost
Br	Blerick
Brd	Barendrecht
Brn	Baarn
Bsd	Beesd
Bsk	Boskoop
Bsmz	Bussum Zuid
Btl	Boxtel
Bv	Beverwijk
Bzl	Kapelle-Biezelinge
Bzm	Hardinxveld Blauwe Zoom
Cas	Castricum
Ck	Cuijk
Cl	Culemborg
Co	Coevorden
Cps	Capelle Schollevaar
Cvm	Chevremont
Da	Daarlerveen
Db	Driebergen-Zeist
Ddn	Delden
Ddr	Dordrecht
Ddrs	Dordrecht Stadspolders
Ddzd	Dordrecht Zuid
Dei	Deinum
Did	Didam
Dl	Dalfsen
Dld	Den Dolder
Dln	Dalen
Dmn	Diemen
Dmnz	Diemen Zuid
Dn	Deurne
Dr	Dieren
Drh	Driehuis
Dron	Dronten
Drp	Dronrijp
Dt	Delft
Dtc	Doetinchem
Dtch	Doetinchem De Huet
Dtz	Delft Zuid
Dv	Deventer
Dvc	Deventer Colmschate
Dvd	Duivendrecht
Dvn	Duiven
Dvnk	De Vink
Dz	Delfzijl
Dzw	Delfzijl West
Ec	Echt
Ed	Ede-Wageningen
Edc	Ede Centrum
Edn	Eijsden
Egh	Eygelshoven
Eghm	Eygelshoven Markt
Ehb	Eindhoven Beukenlaan
Ehv	Eindhoven
Ekz	Enkhuizen
Eml	Ermelo
Emn	Emmen
Emnz	Emmen Zuid
Es	Enschede
Esd	Enschede Drienerlo
Ese	Enschede De Eschmarke
Est	Elst
Etn	Etten-Leur
Fn	Franeker
Gbg	Gramsbergen
Gbr	Glanerbrug
Gd	Gouda
Gdg	Gouda Goverwelle
Gdk	Geerdijk
Gdm	Geldermalsen
Gdr	Gaanderen
Gerp	Groningen Europapark
Gk	Grijpskerk
Gln	Geleen Oost
Gn	Groningen
Gnd	Hardinxveld-Giessendam
Gnn	Groningen Noord
Go	Goor
Gp	Geldrop
Gr	Gorinchem
Gs	Goes
Gv	Den Haag HS
Gvc	Den Haag Centraal
Gvm	Den Haag Mariahoeve
Gvmw	Den Haag Moerwijk
Gw	Grou-Jirnsum
Gz	Gilze-Rijen
Had	Heemstede-Aerdenhout
Hb	Hoensbroek
Hd	Harderwijk
Hdb	Hardenberg
Hde	't Harde
Hdg	Hurdegaryp
Hdr	Den Helder
Hdrz	Den Helder Zuid
Hfd	Hoofddorp
Hgl	Hengelo
Hglg	Hengelo Gezondheidspark
Hglo	Hengelo Oost
Hgv	Hoogeveen
Hgz	Hoogezand-Sappemeer
Hil	Hillegom
Hk	Heemskerk
Hks	Hoogkarspel
Hld	Hoek van Holland Haven
Hlds	Hoek van Holland Strand
Hlg	Harlingen
Hlgh	Harlingen Haven
Hlm	Haarlem
Hlms	Haarlem Spaarnwoude
Hlo	Heiloo
Hm	Helmond
Hmbh	Helmond Brouwhuis
Hmbv	Helmond Brandevoort
Hmh	Helmond 't Hout
Hmn	Hemmen-Dodewaard
Hn	Hoorn
Hnk	Hoorn Kersenboogerd
Hno	Heino
Hnp	Hindeloopen
Hon	Holten
Hor	Hollandsche Rading
Hr	Heerenveen
Hrl	Heerlen
Hrlk	Heerlen De Kissel
